Month,Element,Amount in USD,Year,Day,
July,Albayrak Share,20597.85,2018,3,
July,Albayrak Share,100066,2018,4,
July,Albayrak Share,17757.9,2018,5,
July,Albayrak Share,29360.7,2018,7,
July,Albayrak Share,14217.75,2018,8,
July,Albayrak Share,18475.2,2018,9,
July,Albayrak Share,390049.37,2018,10,
July,Albayrak Share,14481,2018,11,
July,Albayrak Share,14631.13,2018,12,
July,Albayrak Share,21806.55,2018,14,
July,Albayrak Share,119736.04,2018,15,
July,Albayrak Share,18494.1,2018,16,
July,Albayrak Share,99773.62,2018,17,
July,Albayrak Share,11276.55,2018,18,
July,Albayrak Share,12193.2,2018,19,
July,Albayrak Share,30595.68,2018,21,
July,Albayrak Share,322868.87,2018,22,
July,Albayrak Share,173701.58,2018,23,
July,Albayrak Share,56383.45,2018,24,
July,Albayrak Share,193176.52,2018,25,
July,Albayrak Share,170335.55,2018,26,
July,Albayrak Share,24396.3,2018,28,
July,Albayrak Share,33329.7,2018,29,
July,Albayrak Share,17541,2018,30,
July,Albayrak Share,18243.45,2018,31,
August,Albayrak Share,190539.99,2018,1,
August,Albayrak Share,15570,2018,2,
August,Albayrak Share,32681.7,2018,4,
August,Albayrak Share,104203.17,2018,5,
August,Albayrak Share,418933.83,2018,6,
August,Albayrak Share,67588.07,2018,7,
August,Albayrak Share,11082.15,2018,8,
August,Albayrak Share,48204.22,2018,9,
August,Albayrak Share,42318.45,2018,11,
August,Albayrak Share,23146.65,2018,12,
August,Albayrak Share,10227.6,2018,13,
August,Albayrak Share,76861.41,2018,14,
August,Albayrak Share,26059.05,2018,15,
August,Albayrak Share,27193.95,2018,16,
August,Albayrak Share,237669.98,2018,18,
August,Albayrak Share,293394.1,2018,19,
August,Albayrak Share,3778.65,2018,20,
August,Albayrak Share,11389.95,2018,23,
August,Albayrak Share,21688.65,2018,25,
August,Albayrak Share,90473.62,2018,26,
August,Albayrak Share,128152.41,2018,27,
August,Albayrak Share,18963.9,2018,28,
August,Albayrak Share,23633.1,2018,29,
August,Albayrak Share,18611.1,2018,30,
September,Albayrak Share,28770.75,2018,1,
September,Albayrak Share,202423.25,2018,2,
September,Albayrak Share,148561.2,2018,3,
September,Albayrak Share,22545.9,2018,4,
September,Albayrak Share,168485.06,2018,5,
September,Albayrak Share,7581.6,2018,6,
September,Albayrak Share,178308.36,2018,8,
September,Albayrak Share,91728.79,2018,9,
September,Albayrak Share,19514.25,2018,10,
September,Albayrak Share,132395,2018,11,
September,Albayrak Share,27274.95,2018,12,
September,Albayrak Share,105337.83,2018,13,
September,Albayrak Share,86602.5,2018,15,
September,Albayrak Share,9103.95,2018,16,
September,Albayrak Share,19661.85,2018,17,
September,Albayrak Share,235900.66,2018,18,
September,Albayrak Share,88494.08,2018,19,
September,Albayrak Share,15250.5,2018,20,
September,Albayrak Share,147287.31,2018,22,
September,Albayrak Share,21885.3,2018,23,
September,Albayrak Share,187235.66,2018,24,
September,Albayrak Share,20533.05,2018,25,
September,Albayrak Share,27287.55,2018,26,
September,Albayrak Share,12329.55,2018,27,
September,Albayrak Share,11610.45,2018,29,
September,Albayrak Share,19465.27,2018,30,
October,Albayrak Share,102562.07,2018,1,
October,Albayrak Share,263362,2018,2,
October,Albayrak Share,276236.78,2018,3,
October,Albayrak Share,19228.95,2018,4,
October,Albayrak Share,35691.75,2018,6,
October,Albayrak Share,199889.33,2018,7,
October,Albayrak Share,126362.86,2018,8,
October,Albayrak Share,30328.2,2018,9,
October,Albayrak Share,25735.95,2018,10,
October,Albayrak Share,114937.59,2018,11,
October,Albayrak Share,36301.05,2018,13,
October,Albayrak Share,245073.08,2018,14,
October,Albayrak Share,126978.19,2018,15,
October,Albayrak Share,141813.37,2018,16,
October,Albayrak Share,74806.7,2018,17,
October,Albayrak Share,154764.73,2018,18,
October,Albayrak Share,27218.7,2018,20,
October,Albayrak Share,35838.63,2018,21,
October,Albayrak Share,14824.35,2018,22,
October,Albayrak Share,15815.25,2018,23,
October,Albayrak Share,64543.49,2018,24,
October,Albayrak Share,93097.94,2018,25,
October,Albayrak Share,14857.65,2018,27,
October,Albayrak Share,25249.33,2018,28,
October,Albayrak Share,191131.88,2018,29,
October,Albayrak Share,16314.75,2018,30,
October,Albayrak Share,29681.75,2018,31,
November,Albayrak Share,150920.91,2018,1,
November,Albayrak Share,26834.32,2018,3,
November,Albayrak Share,282076.06,2018,4,
November,Albayrak Share,27292.02,2018,5,
November,Albayrak Share,157987.69,2018,6,
