Date,Total Revenue,Somali Share,Albayrak Share,Social Benefits,Month,Year,Day
2018-04-18,425568.85,234062.87,191505.98,2127.84,April,2018,18
2018-04-19,64622.0,35542.1,29079.9,323.11,April,2018,19
2018-04-21,368910.35,202900.69,166009.66,1844.55,April,2018,21
2018-04-22,31180.0,17149.0,14031.0,155.9,April,2018,22
2018-04-23,354882.5,195185.38,159697.13,1774.41,April,2018,23
2018-04-24,16521.0,9086.55,7434.45,82.61,April,2018,24
2018-04-25,45195.0,24857.25,20337.75,225.98,April,2018,25
2018-04-26,31006.0,17053.3,13952.7,155.03,April,2018,26
2018-04-28,29567.26,16261.99,13305.27,147.84,April,2018,28
2018-04-29,206386.25,113512.44,92873.81,1031.93,April,2018,29
2018-04-30,289198.63,159059.25,130139.38,1445.99,April,2018,30
2018-05-02,350026.63,192514.65,157511.98,1750.13,May,2018,2
2018-05-03,168892.87,92891.08,76001.79,844.46,May,2018,3
2018-05-05,318542.72,175198.5,143344.22,1592.71,May,2018,5
2018-05-06,37705.0,20737.75,16967.25,188.53,May,2018,6
2018-05-07,36587.0,20122.85,16464.15,182.94,May,2018,7
2018-05-08,13137.0,7225.35,5911.65,65.69,May,2018,8
2018-05-09,376590.13,207124.57,169465.56,1882.95,May,2018,9
2018-05-10,108833.3,59858.32,48974.99,544.17,May,2018,10
2018-05-12,116741.0,116364.0,116364.0,583.71,May,2018,12
2018-05-13,138235.24,76029.38,62205.86,691.18,May,2018,13
2018-05-14,66372.0,36504.6,29867.4,331.86,May,2018,14
2018-05-15,307214.6,168968.03,138246.57,1536.07,May,2018,15
2018-05-16,301901.5,166045.83,135855.68,1509.51,May,2018,16
2018-05-17,583483.3,320915.82,262567.49,2917.42,May,2018,17
2018-05-19,51605.0,28382.75,23222.25,258.03,May,2018,19
2018-05-20,39340.0,21637.0,17703.0,196.7,May,2018,20
2018-05-21,25549.0,14051.95,11497.05,127.75,May,2018,21
2018-05-22,672421.5,369831.83,302589.68,3362.11,May,2018,22
2018-05-23,52113.0,28662.15,23450.85,260.57,May,2018,23
2018-05-24,47467.0,26106.85,21360.15,237.34,May,2018,24
2018-05-26,70086.0,38547.3,31538.7,350.43,May,2018,26
2018-05-27,367561.5,202158.83,165402.68,1837.81,May,2018,27
2018-05-28,69780.8,38379.44,31401.36,348.9,May,2018,28
2018-05-29,29731.0,16352.05,13378.95,148.66,May,2018,29
2018-05-30,231110.5,127110.78,103999.73,1155.55,May,2018,30
2018-05-31,24372.0,13404.6,10967.4,121.86,May,2018,31
2018-06-02,40711.58,22391.37,18320.21,203.56,June,2018,2
2018-06-03,271185.0,149151.75,122033.25,1355.93,June,2018,3
2018-06-04,62885.0,34586.75,28298.25,314.43,June,2018,4
2018-06-05,35693.0,19631.15,16061.85,178.47,June,2018,5
2018-06-06,17963.0,9879.65,8083.35,89.82,June,2018,6
2018-06-07,231768.79,127472.83,104295.96,1158.84,June,2018,7
2018-06-09,426180.6,234399.33,191781.27,2130.9,June,2018,9
2018-06-10,29205.0,16062.75,13142.25,146.03,June,2018,10
2018-06-11,53918.98,29655.44,24263.54,269.59,June,2018,11
